title,description,text,date,language
"Comment le Covid-19 a servi de révélateur à la crise de la mondialisation, selon Adam Tooze","Dans son nouveau livre, ""L'Arrêt"" (1) (éd. Les Belles Lettres), l'historien de l'université de Columbia (Etats-Unis) signe la suite de son best-seller ""Crashed"", qui analysait les conséquences de la crise de 2008. Il n'aura fallu qu'une mutation marginale d'u…","Spécialiste de l'histoire moderne allemande, en particulier du nazisme, et des crises financières, l'historien britannique Adam Tooze, professeur à l'Université de Columbia où il dirige l'Institut eu… [+12424 chars]",2022-05-19,fr
La Banque mondiale se mobilise contre la crise alimentaire,L'institution financière va débloquer près de 30 milliards d'euros dans divers volets consacrés à la lutte contre l'insécurité alimentaire. Le programme s'étalera sur quinze mois.,Les institutions internationales s'alarment de la situation alimentaire mondiale ! La Banque mondiale débloque plus de onze milliards d'euros pour financer des projets d'approvisionnement en eau ou d… [+2240 chars],2022-05-19,fr
"Guillaume Klossa : ""L'Europe doit mener une guerre des récits avec la Chine et l'Amérique""","Le fondateur du think tank EuropaNova publie Fierté européenne, un manifeste destiné à convaincre les Français des vertus de leur citoyenneté européenne. Indispensable.","Fondateur du think tank EuropaNova et du mouvement démocratique Civico Europa, conseiller spécial pour la présidence française de l'UE de 2008, essayiste, Guillaume Klossa a vécu de l'intérieur les c… [+15918 chars]",2022-05-08,fr
"Aux Etats-Unis, Buffalo entre deuil et colère après l’assassinat de 10 personnes par un suprémaciste blanc","L’auteur de l’attaque, Payton Gendron, 18 ans, a visé un quartier noir défavorisé de cette ville de l’Etat de New York. Il a laissé un manifeste complotiste dans lequel il se revendique raciste et antisémite.","Une personne se recueille devant le supermarché où un suprémaciste blanc a tué dix personnes, à Buffalo (Etats-Unis), le 15 mai 2022. SCOTT OLSON / AFP
Tops Friendly Markets était le lieu où tout le… [+2627 chars]",2022-05-16,fr
Vers une petite « mondialisation entre amis » ?,[Le nouveau désordre mondial] La pandémie et la guerre en Ukraine accélèrent le recul de la mondialisation amorcé dès 2008. Jusqu’à fragmenter les systèmes productif et financier mondiaux ?,"Après une crise financière, une pandémie et une guerre en Europe, où en est la mondialisation économique ? Elle se porte assurément moins bien ! De quel point de vue ? La mondialisation, cest dabord … [+13193 chars]",2022-05-05,fr
"Après dix années de crise, le mea culpa du président de Deutsche Bank","A l’heure de quitter ses fonctions de président du conseil de surveillance de la première banque allemande, Paul Achleitner, a confessé, de manière inattendue, des erreurs pendant ses deux mandats successifs.","Il nest pas si fréquent que les dirigeants de grandes entreprises avouent, au moment de passer la main, sêtre beaucoup trompés, de longues années durant. Paul Achleitner, le président du conseil de s… [+2774 chars]",2022-05-19,fr
Pourquoi l’Allemagne est en partie responsable de la désindustrialisation française,"Sans coordination, une relance de la demande en France pourrait nuire à l’industrie hexagonale au profit de l’Allemagne. Répétant le scénario du début des années 2000.","Les mesures de lutte contre linflation ont succédé au « quoi quil en coûte ». Pour limiter les impacts économiques de la crise sanitaire puis ceux de la guerre en Ukraine, lheure est à la dépense pub… [+6211 chars]",2022-05-13,fr
"Tikehau Ace Capital, le fonds qui fait redécoller l'aéronautique française","Porté par les grands industriels et l'Etat, la société d'investissement s'est imposée comme le fer de lance du sauvetage de la filière durant la crise du Covid. Après Aubert & Duval et Crouzet, elle entre aujourd'hui au capital du sous-traitant stratégique Bt…","Un festival. Depuis six mois, Tikehau Ace Capital carbure au rythme impressionnant d'une opération par mois. En décembre 2021, le fonds d'investissement français reprenait le spécialiste de l'usinage… [+7365 chars]",2022-05-20,fr
Isabelle Bensidoun : « L’invasion de l’Ukraine vient à nouveau porter une lumière crue sur nos interdépendances »,L’économiste observe que l’attaque russe rebat les cartes du commerce mondial et démontre que les seuls critères économiques ne peuvent guider les choix d’internationalisation.,"Isabelle Bensidoun est économiste, adjointe au directeur du Centre détudes prospectives et dinformations internationales (Cepii), coautrice, avec Enzo (dessinateur) et Sébastien Jean, de La Folle His… [+2863 chars]",2022-05-06,fr
La BNB prévoit un ralentissement de la croissance des prix de l'immobilier,C'est actuellement l'hypothèse de la Banque nationale de Belgique (BNB),"La hausse des taux d'intérêt hypothécaires entraînera un ralentissement de la croissance des prix sur le marché de l'immobilier.
La Banque nationale ne voit pas de krach sur le marché de l'immobilie… [+1167 chars]",2022-05-13,fr
L’Allemagne est en partie responsable de la désindustrialisation française,"Sans coordination, une relance de la demande en France pourrait nuire à l’industrie hexagonale au profit de l’Allemagne. Répétant le scénario du début des années 2000.","Entre le « quoi quil en coûte » et les mesures de lutte contre linflation, lheure est à la dépense publique. Ces politiques budgétaires adoptées en France et plus largement en Europe ont « clairement… [+6113 chars]",2022-05-13,fr
Dr. Strangelove aux commandes,"« It's the economy stupid », un truisme à mille lieues du monde des feux follets de l'écologie et du langage épicène, qui nous gouvernent, diplômés de Masters en sciences des religions et autres. Et pourtant, on peut être de gauche et s'y connaître en économi…","« It’s the economy stupid », un truisme à mille lieues du monde des feux follets de l’écologie et du langage épicène, qui nous gouvernent, diplômés de Masters en sciences des religions et autres. Et … [+6958 chars]",2022-04-30,fr
L’avenir de la maternité de Nevers mise à mal par la pénurie de sages-femmes,"Faute de sages-femmes, la dernière maternité de la Nièvre est sur le point de craquer. En 2010, des élus locaux alertaient déjà sur ce risque en proposant un « un bouclier rural » pour endiguer ce phénomène. Sans succès. Le département paye désormais les cons…","Le département de la Nièvre, en Bourgogne-Franche-Comté, est en état durgence médical. Du 19 avril dernier au 10 mai prochain, la réserve sanitaire est mobilisée dans la maternité de Nevers. Habituel… [+6707 chars]",2022-05-03,fr
Le nouveau visage de la mondialisation,"Avec la pandémie de Covid-19 et l'invasion de l'Ukraine, le commerce mondial est profondément perturbé. Faut-il y voir les premiers signes d'une démondialisation que certains appellent de leurs vœux? Ce serait aller un peu vite en besogne. Lire la suite","Temps de lecture: 7 min
En publiant, en 1999, un ouvrage intitulé La Mondialisation heureuse, Alain Minc, avec un sens aigu du marketing, avait délibérément choisi le qualificatif qui allait le plus… [+10851 chars]",2022-05-17,fr
